,dep,title,author,published_date,degree,as.character.main_df.urls..i...
37,商学研究科,国際ビジネス英語の今後の発展と可能性 : BELF時代における体系的ビジネス英語の構築に向けて,"高森, 桃太郎",2014-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17516/?opkey=R155258562400561&idx=9
38,商学研究科,金型産業の情報化に関する研究,"藤川, 健",2013-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17428/?opkey=R155258562400561&idx=10
39,商学研究科,複式簿記機構の固有価値に関する研究 : 期待概念に基づく二面的勘定分類と企業観の導出,"梶原, 太一",2013-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17429/?opkey=R155258562400561&idx=11
40,商学研究科,予算管理システムの現代的課題 : 予算スラックを中心に,"伊藤, 正隆",2013-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17456/?opkey=R155258562400561&idx=12
41,商学研究科,韓国免税店における日中消費者行動に関する実証分析,"金, 志善",2013-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17457/?opkey=R155258562400561&idx=13
42,商学研究科,投資不動産による公正価値測定の信頼性に関する研究 : 鑑定評価と会計測定の融合,"近藤, 汐美",2013-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17458/?opkey=R155258562400561&idx=14
43,商学研究科,ベンチャー起業家社会の実現 : 起業家教育とエコシステムの構築,"熊野, 正樹",2013-03-07,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17433/?opkey=R155258562400561&idx=15
44,商学研究科,金融商品の二元的時価評価と銀行経営 : 金融商品会計の歴史的展開が意味するもの,"新祖, 隆志郎",2011-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17299/?opkey=R155258562400561&idx=16
45,商学研究科,デジタルスチルカメラの外観部品生産と企業間関係,"中西, 孝平",2011-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17308/?opkey=R155258562400561&idx=17
46,商学研究科,銀行貸出行動と銀行規制の経済分析,"中井, 教雄",2011-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17309/?opkey=R155258562400561&idx=18
47,商学研究科,会計倫理教育の研究 : 諸先行研究にもとづく教育モデルの展開,"原田, 保秀",2010-09-20,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17295/?opkey=R155258562400561&idx=19
48,商学研究科,デジタルスチルカメラ産業における日本企業の国際競争力 : 競争次元の高度化と絵作りの能力に着目して,"中道, 一心",2010-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17249/?opkey=R155258562400561&idx=20
49,商学研究科,中国家電企業の低コスト競争力 : 企業の基幹部品調達システムに関する実証研究,"陳, 瑞華",2010-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17250/?opkey=R155258562400561&idx=21
50,商学研究科,パチンコ業界の健全化に関する研究 : ホール企業の改革を中心に,"鍛冶, 博之",2010-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17260/?opkey=R155258562400561&idx=22
51,商学研究科,顧客適応による生販統合事業システムとその進化 : 中小企業オキツモ社の事例,"山中, 克敏",2009-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17190/?opkey=R155258562400561&idx=23
52,商学研究科,会計および監査上の選択に関する基礎的研究 : 会計選択の理論,"矢部, 孝太郎",2008-03-06,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17149/?opkey=R155258562400561&idx=24
53,商学研究科,中国企業会計基準の「国際化」と「中国の特殊性」,"陶, 静",2007-09-29,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17132/?opkey=R155258562400561&idx=25
54,心理学研究科,抑うつ的反すうに対する脱フュージョン手続きの効果 : 効果測定法の開発とその妥当性の検討,"茂本, 由紀",2018-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/26170/?opkey=R155258573412906&idx=1
55,心理学研究科,コーヒーの風味が認知機能に及ぼす影響 : 古典的条件づけの役割に注目して,"福田, 実奈",2018-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/26171/?opkey=R155258573412906&idx=2
56,心理学研究科,ラットの物理的因果理解,"永野, 茜",2018-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/26172/?opkey=R155258573412906&idx=3
57,心理学研究科,Attending to negative affect : the premier expression serves as the source of initial output,"朱, 映菡",2018-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/26173/?opkey=R155258573412906&idx=4
58,心理学研究科,"東日本大震災と福島第一原子力発電所事故に伴う""風評被害""：買い控えを引き起こす心理的メカニズムの解明と買い控え低減を目標とした応用的戦略の検討","工藤, 大介",2017-03-31,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/25757/?opkey=R155258573412906&idx=5
59,心理学研究科,児童期における役割取得能力と学校適応の関係,"本間, 優子",2017-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/24811/?opkey=R155258573412906&idx=6
60,心理学研究科,価値の明確化が慢性疼痛患者の行動活性化に及ぼす影響の検討,"坂野, 朝子",2017-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/24812/?opkey=R155258573412906&idx=7
61,心理学研究科,ラットの忘却に関する生理心理学的研究 : 空間記憶の忘却におけるNMDA受容体の役割,"篠原, 恵介",2017-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/24813/?opkey=R155258573412906&idx=8
62,心理学研究科,集団間葛藤におけるネガティブなメタステレオタイプの働き,"小林, 智之",2017-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/24814/?opkey=R155258573412906&idx=9
63,心理学研究科,悲しみの種類の違いに関する多角的検討,"白井, 真理子",2017-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/24815/?opkey=R155258573412906&idx=10
64,心理学研究科,感情労働におけるストレスの生理学的検討,"中川, 紗江",2016-03-31,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/23660/?opkey=R155258573412906&idx=11
65,心理学研究科,高齢期における人生目標及び社会関係と心理的well-beingの関連 : 社会情動的選択理論に基づく検討,"木村, 年晶",2015-03-31,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/22653/?opkey=R155258573412906&idx=12
66,心理学研究科,乳幼児期におけるふりの発達に関する検討 : 母親の働きかけから子ども主体のふりの確立へ,"伴, 碧",2015-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/17602/?opkey=R155258573412906&idx=13
67,心理学研究科,肥満者の行動的QOL拡大と生活習慣セルフマネジメントにおける行動変動性の機能とその応用,"大屋, 藍子",2015-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/17603/?opkey=R155258573412906&idx=14
68,心理学研究科,アクセプタンス&コミットメント・セラピーの治療文脈の確立 : Creative Hopelessnessの促進方法の効果検証,"酒井, 美枝",2014-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/17540/?opkey=R155258573412906&idx=15
69,心理学研究科,不安障害に対する脱フュージョンの効果 : 作用メカニズムと効果測定法の検討,"木下, 奈緒子",2013-03-22,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/17475/?opkey=R155258573412906&idx=16
70,心理学研究科,マイクロカウンセリングによるカウンセリング技法の習得 : モデリングと言語化の役割,"河越, 隼人",2012-03-20,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/17386/?opkey=R155258573412906&idx=17
71,文化情報学研究科,The profitability effect in asset pricing model performance : an empirical study on Chinese and Japanese equity market,"劉, 東",2018-09-20,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/26364/?opkey=R155258574732212&idx=1
72,文化情報学研究科,川端康成の代筆問題及び文体問題に関する計量的研究,"孫, 昊",2018-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/26147/?opkey=R155258574732212&idx=2
73,文化情報学研究科,A study of refusal expressions in Asian languages : a comparison of occurrences in semantic formulas and levels of closeness,Candy,2018-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/26148/?opkey=R155258574732212&idx=3
74,文化情報学研究科,Dimensional reduction method for three-mode three-way data based on canonical covariance analysis,"土田, 潤",2018-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/26149/?opkey=R155258574732212&idx=4
75,文化情報学研究科,Extensions of nonnegative matrix factorization for exploratory data analysis,"Abe, Hiroyasu",2017-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/24794/?opkey=R155258574732212&idx=5
76,文化情報学研究科,Constrained analysis of asymmetric dissimilarity data by using both MDS and clustering,"谷岡, 健資",2016-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/23043/?opkey=R155258574732212&idx=6
77,文化情報学研究科,Integrated studies on structure and formation mechanism of environmental consciousness in rural and urban China,"陳, 艶艶",2016-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/23044/?opkey=R155258574732212&idx=7
78,文化情報学研究科,西鶴浮世草子の文章に関する数量的研究 : 遺稿集を中心とした著者の検討,"上阪, 彩香",2016-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/23045/?opkey=R155258574732212&idx=8
79,文化情報学研究科,晋方言・官話方言接触地域における音韻的特徴の内部差異の記述と言語伝播の推定 : 果摂一等韻母を中心に,"中野, 尚美",2015-09-26,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/22663/?opkey=R155258574732212&idx=9
80,文化情報学研究科,宗峰妙超墨蹟の研究 : 茶の湯文化における受容史,"宮武, 慶之",2015-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/17588/?opkey=R155258574732212&idx=10
81,文化情報学研究科,計量文献学による『源氏物語』の成立に関する研究,"土山, 玄",2015-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/17589/?opkey=R155258574732212&idx=11
82,文化情報学研究科,音楽療法の全人的・統合的な働きとその多様な構成要素の相互関係の研究,"竹原, 直美",2013-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/17460/?opkey=R155258574732212&idx=12
83,文化情報学研究科,村落の文化系統学的研究 : 飛騨地方の明治初期物産誌『斐太後風土記』を対象に,"松森, 智彦",2013-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/17461/?opkey=R155258574732212&idx=13
84,文化情報学研究科,数理的アプローチからの言語変化と外言語的要素との関わりに関する研究,"小野原, 彩香",2013-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/17523/?opkey=R155258574732212&idx=14
85,文化情報学研究科,微分演算を必要としない非線形フィルタを用いた力学系の状態およびパラメータ推定に関する研究,"竹野, 倫彰",2012-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/17389/?opkey=R155258574732212&idx=15
86,文化情報学研究科,文化情報学および理念型モデル化分析法に関する基礎的研究 : 文化情報学における諸概念と方法について,"藤本, 悠",2010-03-22,博士(文化情報学),https://doors.doshisha.ac.jp/duar/repository/ir/17270/?opkey=R155258574732212&idx=16
87,文学研究科,形而上学と倫理 : ジャンケレヴィッチとレヴィナス,"田中, 優一",2018-09-13,博士(哲学),https://doors.doshisha.ac.jp/duar/repository/ir/26356/?opkey=R155258575204840&idx=1
88,文学研究科,Pilgrimage in war : the influence of the Second World War and the theme of vocation in Evelyn Waugh's later novels,"有為楠, 香",2018-09-13,博士(英文学),https://doors.doshisha.ac.jp/duar/repository/ir/26357/?opkey=R155258575204840&idx=2
89,文学研究科,谷崎潤一郎と中国古典 : 受容の実態と軌跡,"李, 春草",2018-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/26351/?opkey=R155258575204840&idx=3
90,文学研究科,南方熊楠・土宜法龍の研究 : 交わりの視点から読む、近代日本の知識人の主体形成,"小田, 龍哉",2018-03-20,博士(文化史学),https://doors.doshisha.ac.jp/duar/repository/ir/26120/?opkey=R155258575204840&idx=4
91,文学研究科,原資料から見る初期の日伊外交貿易関係 : ジェノヴァ公の来日を中心に,"Pozzi, Carlo Edoardo",2018-03-20,博士(文化史学),https://doors.doshisha.ac.jp/duar/repository/ir/26121/?opkey=R155258575204840&idx=5
92,文学研究科,カルナップ『世界の論理的構築』における「相互主観性」の問題,"小川, 雄",2018-03-01,博士(哲学),https://doors.doshisha.ac.jp/duar/repository/ir/26113/?opkey=R155258575204840&idx=6
93,文学研究科,『宇治拾遺物語』夢説話の研究,"趙, 智英",2017-09-20,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/26111/?opkey=R155258575204840&idx=7
94,文学研究科,古代日本語の因果関係を表す接続表現 : 漢文訓読の影響を中心に,"楊, 瓊",2017-09-20,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/26112/?opkey=R155258575204840&idx=8
95,文学研究科,ローマ帝国支配期カルタゴ周辺地域における文化と記憶,"井福, 剛",2017-09-14,博士(文化史学),https://doors.doshisha.ac.jp/duar/repository/ir/25758/?opkey=R155258575204840&idx=9
96,文学研究科,『宇治拾遺物語』昔話関連話群の研究,"金, 恩愛",2017-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/25750/?opkey=R155258575204840&idx=10
97,文学研究科,昭和文学における〈笑い〉の主題化 : 昭和初期から二〇年代、〈笑い〉の理論と実践の相互関係について,"佐藤, 貴之",2017-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/25751/?opkey=R155258575204840&idx=11
98,文学研究科,谷崎潤一郎大正期映画テクストの横断的研究,"伊東（佐藤）, 未央子",2017-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/25752/?opkey=R155258575204840&idx=12
99,文学研究科,谷崎潤一郎の〈メルティング・ポット〉 : 大正・昭和初期の作品における越境的美学,"Khezrnejat, Gregory Warren",2017-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/25753/?opkey=R155258575204840&idx=13
100,文学研究科,中日近代文学における留学生表象 : 二〇世紀前半期の中国人の日本留学を中心に,"林, 丽婷",2017-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/25754/?opkey=R155258575204840&idx=14
101,文学研究科,平安期物語における継子譚受容 : 孝子説話型の継子譚との比較を中心として,"森, あかね",2017-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/25755/?opkey=R155258575204840&idx=15
102,文学研究科,エマニュエル・レヴィナスと言語の問題,"樋口, 雄哉",2017-03-20,博士(哲学),https://doors.doshisha.ac.jp/duar/repository/ir/24769/?opkey=R155258575204840&idx=16
103,文学研究科,中世後期における寺社参詣の研究 : 京都の寺社と参詣者,"川嶋, 美貴子",2017-03-20,博士(文化史学),https://doors.doshisha.ac.jp/duar/repository/ir/24770/?opkey=R155258575204840&idx=17
104,文学研究科,マントヴァ侯ルドヴィーコ・ゴンザーガ治世期における君主の顕彰図像と信仰 : マンテーニャ作品再解釈に基づく15世紀マントヴァ宮廷美術考,"小松原, 郁",2017-03-20,博士(芸術学),https://doors.doshisha.ac.jp/duar/repository/ir/24771/?opkey=R155258575204840&idx=18
105,文学研究科,『太平記秘伝理尽鈔』の思想 : その構想と方法,"山本, 晋平",2016-03-20,博士(文化史学),https://doors.doshisha.ac.jp/duar/repository/ir/23015/?opkey=R155258575204840&idx=19
106,文学研究科,ヘーゲルの芸術哲学と「近代」 : 「理念」と「感性的顕現」との関係を巡って,"髙藤, 大樹",2016-03-20,博士(芸術学),https://doors.doshisha.ac.jp/duar/repository/ir/23016/?opkey=R155258575204840&idx=20
107,文学研究科,ジゼル・ブルレの音楽美学とその音楽美学史的位置づけ,"舩木, 理悠",2016-03-20,博士(芸術学),https://doors.doshisha.ac.jp/duar/repository/ir/23017/?opkey=R155258575204840&idx=21
108,文学研究科,指示語「コ」「ソ」の文章論的研究 : 小説における機能を中心に,"張, 子如",2015-09-30,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/23008/?opkey=R155258575204840&idx=22
109,文学研究科,平安前期対外姿勢の研究,"堀井, 佳代子",2015-09-17,博士(文化史学),https://doors.doshisha.ac.jp/duar/repository/ir/22654/?opkey=R155258575204840&idx=23
110,文学研究科,実存の危機と言語の危機 : R・M・リルケの詩学に関する芸術学的考察,"池田, まこと",2015-09-17,博士(芸術学),https://doors.doshisha.ac.jp/duar/repository/ir/22655/?opkey=R155258575204840&idx=24
111,文学研究科,中島敦と〈南洋〉 : 同時代〈南洋〉表象とテクスト生成過程から,"杉岡, 歩美",2015-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/22650/?opkey=R155258575204840&idx=25
112,文学研究科,日本近代における〈デカダンス〉の文学史的研究 : 明治三〇年代-昭和二〇年代、〈否定性〉の系譜学,"福岡, 弘彬",2015-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/22651/?opkey=R155258575204840&idx=26
113,文学研究科,西田哲学がビラン哲学にもたらしうるもの,"鋳物, 美佳",2015-03-20,博士(哲学),https://doors.doshisha.ac.jp/duar/repository/ir/17568/?opkey=R155258575204840&idx=27
114,文学研究科,恒藤恭の戦前から戦後における民族認識 : 「合理的精神」展開の一断面,"久野, 譲太郎",2015-03-20,博士(文化史学),https://doors.doshisha.ac.jp/duar/repository/ir/17569/?opkey=R155258575204840&idx=28
115,文学研究科,現代青年における自我同一性とその形成要因に関する研究,"中谷, 陽輔",2015-03-05,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/17562/?opkey=R155258575204840&idx=29
116,文学研究科,アルツハイマー型認知症の認知機能評価における心理検査課題の検討,"谷村, 昌美",2015-03-05,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/17563/?opkey=R155258575204840&idx=30
117,文学研究科,戦後・三島由紀夫文学の生成 : その思想性と文学的実践について,"田中, 裕也",2015-03-05,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/17564/?opkey=R155258575204840&idx=31
118,文学研究科,生の刷新のためのフッサールの現象学的倫理学,"島田, 喜行",2014-09-18,博士(哲学),https://doors.doshisha.ac.jp/duar/repository/ir/17555/?opkey=R155258575204840&idx=32
119,文学研究科,カンタベリのアンセルムスの神論,"斎藤, 大樹",2014-09-18,博士(哲学),https://doors.doshisha.ac.jp/duar/repository/ir/17556/?opkey=R155258575204840&idx=33
120,文学研究科,"明治期における監獄の中の児童問題 : 児童福祉前史としての懲治場,感化教育,そして「携帯乳児」","倉持, 史朗",2014-09-18,博士(社会福祉学),https://doors.doshisha.ac.jp/duar/repository/ir/17557/?opkey=R155258575204840&idx=34
121,文学研究科,自己志向的完全主義の規定要因および精神的健康との関連についての研究,"中川, 明仁",2014-09-18,博士(心理学),https://doors.doshisha.ac.jp/duar/repository/ir/17558/?opkey=R155258575204840&idx=35
122,文学研究科,明治後期における紀行文の「進歩」とジャンルの自立性 : 小島烏水の理論と実践を中心に,"熊谷, 昭宏",2014-09-18,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/17559/?opkey=R155258575204840&idx=36
123,文学研究科,「天狗説話」の研究,"久留島, 元",2014-03-31,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/17551/?opkey=R155258575204840&idx=37
124,文学研究科,日本古典芸能と中国文学 : 催馬楽・今様・能をめぐって,"松沢, 佳菜",2014-03-20,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/17506/?opkey=R155258575204840&idx=38
125,文学研究科,『諸道聴耳世間狙』における演劇作品の受容,"王, 欣",2014-03-20,博士(国文学),https://doors.doshisha.ac.jp/duar/repository/ir/17507/?opkey=R155258575204840&idx=39
